,Variable,Parameter,Gini
0,inflation,0.01,0.7638713517757199
0,inflation,0.01,0.7457913202038806
0,inflation,0.01,0.8896372861818619
0,inflation,0.01,0.7516036810268595
0,inflation,0.01,0.7635563351160275
0,inflation,0.01,0.8045571118464611
0,inflation,0.01,0.7992914567744192
0,inflation,0.01,0.7656769193766514
0,inflation,0.01,0.6822747391916523
0,inflation,0.01,0.7498534883411317
0,inflation,0.01,0.74164666288695
0,inflation,0.01,0.8297793986170898
0,inflation,0.01,0.7640142344963455
0,inflation,0.01,0.7855414102595616
0,inflation,0.01,0.6814591592997158
0,inflation,0.01,0.7568105899811151
0,inflation,0.01,0.6493632961587866
0,inflation,0.01,0.7094984256101119
0,inflation,0.01,0.7781130269278167
0,inflation,0.01,0.7431014499109702
0,inflation,0.01,0.7467378594696505
0,inflation,0.01,0.7005427572701924
0,inflation,0.01,0.7635367585080242
0,inflation,0.01,0.7309549755879364
0,inflation,0.01,0.7239161747456091
0,inflation,0.01,0.7591679826755742
0,inflation,0.01,0.836935195961374
0,inflation,0.01,0.689410605221726
0,inflation,0.01,0.7278021985955969
0,inflation,0.01,0.6996144865765147
0,inflation,0.011818181818181818,0.7717910472694869
0,inflation,0.011818181818181818,0.9034807497000005
0,inflation,0.011818181818181818,0.7570693217983303
0,inflation,0.011818181818181818,0.6956679224003675
0,inflation,0.011818181818181818,0.739275241474426
0,inflation,0.011818181818181818,0.8502769771963117
0,inflation,0.011818181818181818,0.7439219691251079
0,inflation,0.011818181818181818,0.8054302749928823
0,inflation,0.011818181818181818,0.724985311578661
0,inflation,0.011818181818181818,0.7348024130750471
0,inflation,0.011818181818181818,0.8210525758994449
0,inflation,0.011818181818181818,0.814196706524296
0,inflation,0.011818181818181818,0.8109636469244783
0,inflation,0.011818181818181818,0.7845548642112157
0,inflation,0.011818181818181818,0.748676539104179
0,inflation,0.011818181818181818,0.7315447666580879
0,inflation,0.011818181818181818,0.7486811966588495
0,inflation,0.011818181818181818,0.7796427551260628
0,inflation,0.011818181818181818,0.7826966082267208
0,inflation,0.011818181818181818,0.7551670124847716
0,inflation,0.011818181818181818,0.7536054060954813
0,inflation,0.011818181818181818,0.7090093328556164
0,inflation,0.011818181818181818,0.737283289483981
0,inflation,0.011818181818181818,0.7463180403017006
0,inflation,0.011818181818181818,0.7331858326907855
0,inflation,0.011818181818181818,0.76706687652291
0,inflation,0.011818181818181818,0.7916078692487494
0,inflation,0.011818181818181818,0.792189601842288
0,inflation,0.011818181818181818,0.7574834088932516
0,inflation,0.011818181818181818,0.7892723941128352
0,inflation,0.013636363636363636,0.759225263308425
0,inflation,0.013636363636363636,0.73565653216275
0,inflation,0.013636363636363636,0.8195576092297413
0,inflation,0.013636363636363636,0.7388897088510613
0,inflation,0.013636363636363636,0.768038281781004
0,inflation,0.013636363636363636,0.7227547078958788
0,inflation,0.013636363636363636,0.7791277537332925
0,inflation,0.013636363636363636,0.7830787562152614
0,inflation,0.013636363636363636,0.7829301032747743
0,inflation,0.013636363636363636,0.7476696012499598
0,inflation,0.013636363636363636,0.7627944437377693
0,inflation,0.013636363636363636,0.7690745800920188
0,inflation,0.013636363636363636,0.7739446845554958
0,inflation,0.013636363636363636,0.7571656089696615
0,inflation,0.013636363636363636,0.7576660868569133
0,inflation,0.013636363636363636,0.7691089347806612
0,inflation,0.013636363636363636,0.6836774018056119
0,inflation,0.013636363636363636,0.8080735561284607
0,inflation,0.013636363636363636,0.7213454469487759
0,inflation,0.013636363636363636,0.7332891466899003
0,inflation,0.013636363636363636,0.810350350616697
0,inflation,0.013636363636363636,0.7230995939805244
0,inflation,0.013636363636363636,0.7885722442484177
0,inflation,0.013636363636363636,0.7684399987027305
0,inflation,0.013636363636363636,0.7474983862619593
0,inflation,0.013636363636363636,0.7427234849799592
0,inflation,0.013636363636363636,0.7217528674447603
0,inflation,0.013636363636363636,0.795945205566833
0,inflation,0.013636363636363636,0.7691104966877546
0,inflation,0.013636363636363636,0.8279687585856169
0,inflation,0.015454545454545453,0.7764808182484066
0,inflation,0.015454545454545453,0.7553903313345893
0,inflation,0.015454545454545453,0.7683453939400363
0,inflation,0.015454545454545453,0.7923898102357739
0,inflation,0.015454545454545453,0.712594987278849
0,inflation,0.015454545454545453,0.7179428088954843
0,inflation,0.015454545454545453,0.7788325158579102
0,inflation,0.015454545454545453,0.7326775783502073
0,inflation,0.015454545454545453,0.734859531734684
0,inflation,0.015454545454545453,0.7593973193495073
0,inflation,0.015454545454545453,0.76100092901289
0,inflation,0.015454545454545453,0.7374712225906243
0,inflation,0.015454545454545453,0.8001991789749923
0,inflation,0.015454545454545453,0.7393181515764665
0,inflation,0.015454545454545453,0.7596330089241262
0,inflation,0.015454545454545453,0.7670494835665821
0,inflation,0.015454545454545453,0.7256328004230933
0,inflation,0.015454545454545453,0.7783204118543601
0,inflation,0.015454545454545453,0.7796517315899986
0,inflation,0.015454545454545453,0.7758086865902821
0,inflation,0.015454545454545453,0.7354508443068821
0,inflation,0.015454545454545453,0.7767709556420214
0,inflation,0.015454545454545453,0.8404308774788535
0,inflation,0.015454545454545453,0.6931089518852184
0,inflation,0.015454545454545453,0.8120599386227638
0,inflation,0.015454545454545453,0.7448028140096816
0,inflation,0.015454545454545453,0.7699048191294918
0,inflation,0.015454545454545453,0.7355869806855869
0,inflation,0.015454545454545453,0.766237561320618
0,inflation,0.015454545454545453,0.8425175124700178
0,inflation,0.017272727272727273,0.7596818434007137
0,inflation,0.017272727272727273,0.7768974157286904
0,inflation,0.017272727272727273,0.7887822928262348
0,inflation,0.017272727272727273,0.8051844249491926
0,inflation,0.017272727272727273,0.7905209602708243
0,inflation,0.017272727272727273,0.7889291164428547
0,inflation,0.017272727272727273,0.7734051926937359
0,inflation,0.017272727272727273,0.7621510633296609
0,inflation,0.017272727272727273,0.7210404791539143
0,inflation,0.017272727272727273,0.7778124553166728
0,inflation,0.017272727272727273,0.7348108518615131
0,inflation,0.017272727272727273,0.7637663252686469
0,inflation,0.017272727272727273,0.8454775943694894
0,inflation,0.017272727272727273,0.763893882885991
0,inflation,0.017272727272727273,0.8286992067801018
0,inflation,0.017272727272727273,0.7329482194755895
0,inflation,0.017272727272727273,0.7510796722987771
0,inflation,0.017272727272727273,0.7940326002468328
0,inflation,0.017272727272727273,0.7357430464119556
0,inflation,0.017272727272727273,0.8034266017067258
0,inflation,0.017272727272727273,0.7584523612675154
0,inflation,0.017272727272727273,0.7607062985747746
0,inflation,0.017272727272727273,0.7945557808536639
0,inflation,0.017272727272727273,0.7730873687479124
0,inflation,0.017272727272727273,0.7768452212356153
0,inflation,0.017272727272727273,0.7671643203381686
0,inflation,0.017272727272727273,0.7817082462459614
0,inflation,0.017272727272727273,0.6705986877246757
0,inflation,0.017272727272727273,0.826171508482424
0,inflation,0.017272727272727273,0.7370903153758632
0,inflation,0.01909090909090909,0.843891854432019
0,inflation,0.01909090909090909,0.8337984707459118
0,inflation,0.01909090909090909,0.7897394230876101
0,inflation,0.01909090909090909,0.7627881342359193
0,inflation,0.01909090909090909,0.7518200672120139
0,inflation,0.01909090909090909,0.6970407294613425
0,inflation,0.01909090909090909,0.7222497665249316
0,inflation,0.01909090909090909,0.8342926562693034
0,inflation,0.01909090909090909,0.7918486783148796
0,inflation,0.01909090909090909,0.7810433308386436
0,inflation,0.01909090909090909,0.7795629947872573
0,inflation,0.01909090909090909,0.7427303330369142
0,inflation,0.01909090909090909,0.7792959513799335
0,inflation,0.01909090909090909,0.8102194429489488
0,inflation,0.01909090909090909,0.7762129518469311
0,inflation,0.01909090909090909,0.7991554829181716
0,inflation,0.01909090909090909,0.8004450930683573
