,Variable,Parameter,Gini
0,price_upper,11000.0,0.7789045947120222
0,price_upper,11000.0,0.7572108886177114
0,price_upper,11000.0,0.7599989044706036
0,price_upper,11000.0,0.7506354526023711
0,price_upper,11000.0,0.7508086458575034
0,price_upper,11000.0,0.8066486643570743
0,price_upper,11000.0,0.7765135963463998
0,price_upper,11000.0,0.8193014738804932
0,price_upper,11000.0,0.6981804298961581
0,price_upper,11000.0,0.7597525637339607
0,price_upper,11000.0,0.845781112809509
0,price_upper,11000.0,0.7686106818471448
0,price_upper,11000.0,0.7722702719610809
0,price_upper,11000.0,0.7664219047801402
0,price_upper,11000.0,0.8268368746884976
0,price_upper,11000.0,0.7798065722355226
0,price_upper,11000.0,0.7008306748627333
0,price_upper,11000.0,0.6968476225439353
0,price_upper,11000.0,0.8248571321082444
0,price_upper,11000.0,0.745935658922245
0,price_upper,11000.0,0.7875868063194356
0,price_upper,11000.0,0.7640253647881816
0,price_upper,11000.0,0.7483109513362385
0,price_upper,11000.0,0.814326898622824
0,price_upper,11000.0,0.8233381524024154
0,price_upper,11000.0,0.7460716209141289
0,price_upper,11000.0,0.7869839509222057
0,price_upper,11000.0,0.7437769719207508
0,price_upper,11000.0,0.723412809650763
0,price_upper,11000.0,0.8348200484681739
0,price_upper,19090.909090909092,0.7738713938539895
0,price_upper,19090.909090909092,0.7626517021042452
0,price_upper,19090.909090909092,0.7950985512218746
0,price_upper,19090.909090909092,0.7189803010254979
0,price_upper,19090.909090909092,0.723023367665424
0,price_upper,19090.909090909092,0.7741293758547368
0,price_upper,19090.909090909092,0.8215130039329916
0,price_upper,19090.909090909092,0.7556788259959737
0,price_upper,19090.909090909092,0.7071558767379051
0,price_upper,19090.909090909092,0.7573399707887046
0,price_upper,19090.909090909092,0.7589780957097245
0,price_upper,19090.909090909092,0.8050891688646855
0,price_upper,19090.909090909092,0.7418090725293311
0,price_upper,19090.909090909092,0.8277957078451298
0,price_upper,19090.909090909092,0.7503124935715251
0,price_upper,19090.909090909092,0.7721119663147997
0,price_upper,19090.909090909092,0.7254757202799808
0,price_upper,19090.909090909092,0.7268686738023458
0,price_upper,19090.909090909092,0.7715695804929189
0,price_upper,19090.909090909092,0.7350532256475455
0,price_upper,19090.909090909092,0.7629441916353513
0,price_upper,19090.909090909092,0.6695044100880695
0,price_upper,19090.909090909092,0.7653954439710855
0,price_upper,19090.909090909092,0.7640726126254309
0,price_upper,19090.909090909092,0.7472595219686913
0,price_upper,19090.909090909092,0.838409645986291
0,price_upper,19090.909090909092,0.7785284584002187
0,price_upper,19090.909090909092,0.7467896908848132
0,price_upper,19090.909090909092,0.7594834736956505
0,price_upper,19090.909090909092,0.7463235609661028
0,price_upper,27181.818181818184,0.741033989169791
0,price_upper,27181.818181818184,0.7915700020435955
0,price_upper,27181.818181818184,0.8283098128231368
0,price_upper,27181.818181818184,0.7943167329677587
0,price_upper,27181.818181818184,0.7752951966298822
0,price_upper,27181.818181818184,0.7093911671916419
0,price_upper,27181.818181818184,0.7659785769307351
0,price_upper,27181.818181818184,0.7694877046864094
0,price_upper,27181.818181818184,0.7801788417731617
0,price_upper,27181.818181818184,0.7961543640304042
0,price_upper,27181.818181818184,0.7654707466328095
0,price_upper,27181.818181818184,0.7983687692726398
0,price_upper,27181.818181818184,0.7899876380225539
0,price_upper,27181.818181818184,0.7706751286767795
0,price_upper,27181.818181818184,0.8204844335063577
0,price_upper,27181.818181818184,0.7187309861401439
0,price_upper,27181.818181818184,0.7980594124373935
0,price_upper,27181.818181818184,0.7555954328103351
0,price_upper,27181.818181818184,0.7286585827660907
0,price_upper,27181.818181818184,0.7531118231395294
0,price_upper,27181.818181818184,0.8040268642244048
0,price_upper,27181.818181818184,0.7319748541819252
0,price_upper,27181.818181818184,0.7987011713349189
0,price_upper,27181.818181818184,0.690478929420408
0,price_upper,27181.818181818184,0.8195009528539999
0,price_upper,27181.818181818184,0.7784124140688264
0,price_upper,27181.818181818184,0.714410796295581
0,price_upper,27181.818181818184,0.7262472545732409
0,price_upper,27181.818181818184,0.7240391459775536
0,price_upper,27181.818181818184,0.8041751563884229
0,price_upper,35272.72727272727,0.7353377945779982
0,price_upper,35272.72727272727,0.7531635307756648
0,price_upper,35272.72727272727,0.7786989862838827
0,price_upper,35272.72727272727,0.7322009721193385
0,price_upper,35272.72727272727,0.7686651016326934
0,price_upper,35272.72727272727,0.7367850075387156
0,price_upper,35272.72727272727,0.7708602092641232
0,price_upper,35272.72727272727,0.7721034635814985
0,price_upper,35272.72727272727,0.8560700195543419
0,price_upper,35272.72727272727,0.819205854126355
0,price_upper,35272.72727272727,0.7004332217942398
0,price_upper,35272.72727272727,0.7312660270524952
0,price_upper,35272.72727272727,0.7581300134046843
0,price_upper,35272.72727272727,0.7170055191347245
0,price_upper,35272.72727272727,0.7293014180866354
0,price_upper,35272.72727272727,0.8075094255181643
0,price_upper,35272.72727272727,0.7315542878763308
0,price_upper,35272.72727272727,0.7880609819975495
0,price_upper,35272.72727272727,0.7493007267727645
0,price_upper,35272.72727272727,0.8163221014723888
0,price_upper,35272.72727272727,0.7463535033447921
0,price_upper,35272.72727272727,0.724676495760439
0,price_upper,35272.72727272727,0.7227270298617947
0,price_upper,35272.72727272727,0.7981382974251393
0,price_upper,35272.72727272727,0.7906879982105017
0,price_upper,35272.72727272727,0.7908401762906643
0,price_upper,35272.72727272727,0.767569075318338
0,price_upper,35272.72727272727,0.7937979058468575
0,price_upper,35272.72727272727,0.8019286733034939
0,price_upper,35272.72727272727,0.7556020854658005
0,price_upper,43363.63636363637,0.7431990021883353
0,price_upper,43363.63636363637,0.7735722119783053
0,price_upper,43363.63636363637,0.7624774956181749
0,price_upper,43363.63636363637,0.8310374610479608
0,price_upper,43363.63636363637,0.7068971337962819
0,price_upper,43363.63636363637,0.7761956310454429
0,price_upper,43363.63636363637,0.7407393421534145
0,price_upper,43363.63636363637,0.791568739042542
0,price_upper,43363.63636363637,0.7690886608918089
0,price_upper,43363.63636363637,0.7700716214012111
0,price_upper,43363.63636363637,0.7456415935965932
0,price_upper,43363.63636363637,0.7862983349609018
0,price_upper,43363.63636363637,0.7687874033287324
0,price_upper,43363.63636363637,0.7316628581505098
0,price_upper,43363.63636363637,0.7103304092464222
0,price_upper,43363.63636363637,0.7118059006901888
0,price_upper,43363.63636363637,0.7545029833229687
0,price_upper,43363.63636363637,0.7450752905695713
0,price_upper,43363.63636363637,0.8332956655529477
0,price_upper,43363.63636363637,0.7838206980160114
0,price_upper,43363.63636363637,0.7717097021886332
0,price_upper,43363.63636363637,0.7469506273326197
0,price_upper,43363.63636363637,0.7874106184694899
0,price_upper,43363.63636363637,0.7772259800439034
0,price_upper,43363.63636363637,0.8229229741729556
0,price_upper,43363.63636363637,0.6829214651346456
0,price_upper,43363.63636363637,0.7895498671846406
0,price_upper,43363.63636363637,0.8068037951932843
0,price_upper,43363.63636363637,0.7429562777213404
0,price_upper,43363.63636363637,0.7839347110443005
0,price_upper,51454.545454545456,0.7579011544095187
0,price_upper,51454.545454545456,0.7603595769365186
