0,2,47
2,4,53
4,6,53
6,8,58
8,10,58
10,12,73
12,14,121
14,16,275
16,18,269
18,20,310
20,22,385
22,24,311
24,26,325
26,28,337
28,30,305
30,32,288
32,34,275
34,36,259
36,38,239
38,40,220
40,42,209
42,44,203
44,46,199
46,48,195
48,50,189
50,52,183
52,54,175
54,56,167
56,58,159
58,60,150
60,62,140
62,64,129
64,66,119
66,68,111
68,70,101
70,72,92
72,74,84
74,76,77
76,78,70
78,80,64
80,82,58
82,84,52
84,86,48
86,88,43
88,90,39
90,92,35
92,94,32
94,96,29
96,98,26
98,100,24
100,102,22
102,104,20
104,106,18
106,108,16
108,110,15
110,112,14
112,114,13
114,116,12
116,118,11
118,120,10
120,122,9
122,124,8
124,126,8
126,128,7
128,130,6
130,132,6
132,134,6
134,136,5
136,138,5
138,140,5
